interest,theme,hackathon_use,title,summary,published,updated,formats,resource_count,dataset_url,resource_urls
,,,Vorfallstatistik 2025 - Ordnungsdienst (Linz),"ie Statistik dient der transparenten Darstellung der Tätigkeiten sowie als Grundlage für Analysen, Verwaltungsentscheidungen und Maßnahmen zur Stärkung von Ordnung, Sauberkeit und Sicherheit im Stadtgebiet Linz. Kategorienbeschreibung * Ruhender Verkehr: Enthält alle Delikte aus der gebührenfreien Kurzparkzone sowie Verstöße gegen Halt- und Parkverbote gemäß Straßenverkehrsordnung (StVO). * Service und Information: Beinhaltet Auskünfte, Beschwerden, Hilfeleistungen, Fundgegenstände, Meldungen zu Fahrzeugen ohne Kennzeichen, defekte Verkehrsleiteinrichtungen sowie vergleichbare Serviceanliegen. * Hundeproblematik: Umfasst alle Vorfälle im Zusammenhang mit Hundemitnahmeverboten, Verunreinigungen durch Hundekot, Verstößen gegen Leinen- und Beißkorbpflicht sowie der Kennzeichnungspflicht mittels amtlicher Hundemarke oder Mikrochip. * Bettelei: Gliedert sich in legale und illegale Bettelei sowie Fälle im Zusammenhang mit Briefzustellungen und gemeldeten Belästigungen. * Anrainerverpflichtungen: Erfasst Verstöße gegen Verpflichtungen von Anrainern nach der Straßenverkehrsordnung, insbesondere im Bereich Reinigung, Schneeräumung und Streupflicht. Straßenkunst / StVO: Beinhaltet Vorfälle im Zusammenhang mit legaler und illegaler Straßenkunst sowie der Verteilung von Flugblättern, Werbematerialien und Zeitungen. * Ortspolizeiliche Verordnungen: Erfasst Delikte gemäß den vom Gemeinderat der Stadt Linz erlassenen ortspolizeilichen Verordnungen (z. B. Alkoholverbote, Hundeverbote, Bettelverbote in definierten Zonen). * Sonstige Vorfälle: Umfasst alle übrigen Meldungen, die nicht in die oben genannten Kategorien fallen, wie etwa Lärmerregung, Verstöße gegen den Jugendschutz, Anstandsverletzungen oder Beeinträchtigungen des Gemeingebrauchs. Datentyp Aggregierte Statistikdaten Zeitraum Jahresbeginn bis zum jeweiligen Monatsende Aktualisierungsintervall Monatlich",2026-06-24,2026-06-24,CSV,2,http://www.data.gv.at/katalog/datasets/vorfallstatistik-ordnungsdienst-2025,https://data.linz.gv.at/katalog/soziales_gesellschaft/ordnungsdienst/IFG_Vorfall-Statistik_01.12.2025.csv;https://data.linz.gv.at/katalog/soziales_gesellschaft/ordnungsdienst/IFG_Vorfall_Statistik_30.09.2025.csv
B,Civic tech,Monthly service and public-order trend dashboard,Vorfallstatistik 2026 - Ordnungsdienst (Linz),"ie Statistik dient der transparenten Darstellung der Tätigkeiten sowie als Grundlage für Analysen, Verwaltungsentscheidungen und Maßnahmen zur Stärkung von Ordnung, Sauberkeit und Sicherheit im Stadtgebiet Linz. Kategorienbeschreibung * Ruhender Verkehr: Enthält alle Delikte aus der gebührenfreien Kurzparkzone sowie Verstöße gegen Halt- und Parkverbote gemäß Straßenverkehrsordnung (StVO). * Service und Information: Beinhaltet Auskünfte, Beschwerden, Hilfeleistungen, Fundgegenstände, Meldungen zu Fahrzeugen ohne Kennzeichen, defekte Verkehrsleiteinrichtungen sowie vergleichbare Serviceanliegen. * Hundeproblematik: Umfasst alle Vorfälle im Zusammenhang mit Hundemitnahmeverboten, Verunreinigungen durch Hundekot, Verstößen gegen Leinen- und Beißkorbpflicht sowie der Kennzeichnungspflicht mittels amtlicher Hundemarke oder Mikrochip. * Bettelei: Gliedert sich in legale und illegale Bettelei sowie Fälle im Zusammenhang mit Briefzustellungen und gemeldeten Belästigungen. * Anrainerverpflichtungen: Erfasst Verstöße gegen Verpflichtungen von Anrainern nach der Straßenverkehrsordnung, insbesondere im Bereich Reinigung, Schneeräumung und Streupflicht. Straßenkunst / StVO: Beinhaltet Vorfälle im Zusammenhang mit legaler und illegaler Straßenkunst sowie der Verteilung von Flugblättern, Werbematerialien und Zeitungen. * Ortspolizeiliche Verordnungen: Erfasst Delikte gemäß den vom Gemeinderat der Stadt Linz erlassenen ortspolizeilichen Verordnungen (z. B. Alkoholverbote, Hundeverbote, Bettelverbote in definierten Zonen). * Sonstige Vorfälle: Umfasst alle übrigen Meldungen, die nicht in die oben genannten Kategorien fallen, wie etwa Lärmerregung, Verstöße gegen den Jugendschutz, Anstandsverletzungen oder Beeinträchtigungen des Gemeingebrauchs. Datentyp Aggregierte Statistikdaten Zeitraum Jahresbeginn bis zum jeweiligen Monatsende Aktualisierungsintervall Monatlich",2026-06-24,2026-06-24,CSV,2,http://www.data.gv.at/katalog/datasets/vorfallstatistik-ordnungsdienst-2026,https://data.linz.gv.at/katalog/soziales_gesellschaft/ordnungsdienst/IFG_Vorfall_Statistik_01.01.2026.csv;https://data.linz.gv.at/katalog/soziales_gesellschaft/ordnungsdienst/IFG_Vorfall_Statistik_01.03.2026.csv
A,Civic tech,"Search, summarize and connect council debates across years",Gemeinderatsprotokolle 2026 (Linz),Wortprotokoll der Linzer Gemeinderatssitzungen aus dem Jahr 2026 PDF-Versionen sind auf https://www.linz.at/politik/grsitzungen/ verfügbar.,2026-04-22,2026-04-22,TXT,2,http://www.data.gv.at/katalog/datasets/gemeinderatsprotokolle-2026,https://data.linz.gv.at/katalog/politik_verwaltung/politik/gemeinderat/gemeinderat_wortprotokoll/2026/36.Sitzung.22.1.2026.txt;https://data.linz.gv.at/katalog/politik_verwaltung/politik/gemeinderat/gemeinderat_wortprotokoll/2026/37.Sitzung.19.3.2026.txt
,,,Tagesordnung der Gemeinderatssitzungen 2026 (Linz),Tagesordnungen der Linzer Gemeinderatssitzungen im Jahr 2026. PDF-Versionen sind auf https://www.linz.at/Politik/GrSitzungen/ verfügbar.,2026-01-19,2026-03-16,TXT,5,http://www.data.gv.at/katalog/datasets/tagesordnung-der-gemeinderatssitzungen-2026,https://data.linz.gv.at/katalog/politik_verwaltung/politik/gemeinderat/gemeindeart_tagesordnung/2026/39_GR_Sitzung_28_05_2026.txt;https://data.linz.gv.at/katalog/politik_verwaltung/politik/gemeinderat/gemeindeart_tagesordnung/2026/37_GR_Sitzung_19_03_2026.txt;https://data.linz.gv.at/katalog/politik_verwaltung/politik/gemeinderat/gemeindeart_tagesordnung/2026/40_GR_Sitzung_02_07_2026.txt;https://data.linz.gv.at/katalog/politik_verwaltung/politik/gemeinderat/gemeindeart_tagesordnung/2026/36_GR_Sitzung_22_01_2026.txt;https://data.linz.gv.at/katalog/politik_verwaltung/politik/gemeinderat/gemeindeart_tagesordnung/2026/38_GR_Sitzung_23_04_2026.txt
A,Urban nature,"Tree explorer, shade map, biodiversity or maintenance planning",Baumkataster (Linz),"Alle von der Stadt Linz betreuten Bäume mit Informationen zu Gattung, Art, Sorte, Höhe (Meter), Schirmdurchmesser (Meter), Stammumfang (Zentimeter), Typ (L=Laubbaum, N=Nadelbaum) und den Geokoordinaten. Die Koordinaten stehen zur Verfügung: EPSG:31255 das Landeskoordinatensystem für Zentral-Österreich (XPos, YPos) und EPSG:4326 WGS84 das Bezugssystem von GPS-Daten (lon, lat). Die Files der jeweiligen Jahre enthalten den unveränderten Bestand. Das File ""[Baumkataster aktuell](https://data.linz.gv.at/katalog/umwelt/baumkataster/Baumkataster.csv)"" jeweils den aktuellsten Stand im bisherigen Format. Zusätzlich gibt es testweise das File ""[FME_BaumdatenBearbeitet_OGD.csv](https://data.linz.gv.at/katalog/umwelt/baumkataster/FME_BaumdatenBearbeitet_OGD.csv)"", es wurde um Wikidata-IDs für die Baumgattungen erweitert und dafür ist eine JSON-Schema-Beschreibung im File [Baumkataster-metadata.json](https://data.linz.gv.at/katalog/umwelt/baumkataster/Baumkataster-metadata.json) nach https://csvw.org verfügbar.",2018-07-26T07:22:53.006463Z,2026-01-28,CSV;JSON,15,http://www.data.gv.at/katalog/datasets/f660cf3f-afa9-4816-aafb-0098a36ca57d,https://data.linz.gv.at/katalog/umwelt/baumkataster/Baumkataster.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2013/FME_BaumdatenBearbeitet_OGD.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2022/FME_BaumdatenBearbeitet_OGD_20220711.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2021/FME_BaumdatenBearbeitet_OGD_20210607.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/FME_BaumdatenBearbeitet_OGD.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2019/FME_BaumdatenBearbeitet_OGD_20190205.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2018/FME_BaumdatenBearbeitet_OGD_20181112.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2026/SGS_Baumkataster_OGD_20260101.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2014/FME_BaumdatenBearbeitet_OGD_2014.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2020/FME_BaumdatenBearbeitet_OGD_20200806.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2015/FME_BaumdatenBearbeitet_OGD_1_2015.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2025/SGS_Baumkataster_OGD_20251112.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/Baumkataster-metadata.json;https://data.linz.gv.at/katalog/umwelt/baumkataster/2023/FME_BaumdatenBearbeitet_OGD_20230202.csv;https://data.linz.gv.at/katalog/umwelt/baumkataster/2016/FME_BaumdatenBearbeitet_OGD_2016.csv
,,,Personalstand Magistrat Linz - Beamte/Vertragsbedienstete (Linz),"Der Personalstand des Magistrat Linz mit Informaionen zum Beschäftigungsverhältnis, zu Vollzeit- und Teilzeitbeschäftigten und zum Geschlecht.",2014-09-15T09:41:29.351318Z,2025-11-14T16:30:00Z,CSV,23,http://www.data.gv.at/katalog/datasets/ae39c5af-89dc-4696-86db-cdb063099af5,http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2012/bevages_2012.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2019/bevages_2019.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2016/bevages_2016.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2014/bevages_2014.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2008/bevages_2008.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2005/bevages_2005.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2009/bevages_2009.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2021/bevages_2021.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2013/bevages_2013.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2004/bevages_2004.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2015/bevages_2015.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2011/bevages_2011.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2018/bevages_2018.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2003/bevages_2003.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2002/bevages_2002.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2017/bevages_2017.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2024/bevages_2024.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2020/bevages_2020.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2007/bevages_2007.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2023/bevages_2023.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2010/bevages_2010.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2022/bevages_2022.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/2006/bevages_2006.csv
,,,Personalstand Magistrat Linz - Beamte/Vertragsbedienstete (Linz),"Der Personalstand des Magistrat Linz mit Informaionen zum Beschäftigungsverhältnis, zu Vollzeit- und Teilzeitbeschäftigten und zum Geschlecht.",2019-07-18T14:58:43.261957Z,2025-11-14T16:29:00Z,PDF,1,http://www.data.gv.at/katalog/datasets/99076c8f-7a7b-4d97-899c-87b151f578fc,https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/beamte_vertrasbedienstete/BEVAGES.pdf
,,,Personalstand Magistrat Linz - Altersstruktur (Linz),"Der Personalstand des Magistrat Linz mit Informaionen zum Alter, zu Vollzeit- und Teilzeitbeschäftigten und zum Geschlecht.",2014-09-15T09:41:22.015805Z,2025-11-14T16:26:00Z,CSV,23,http://www.data.gv.at/katalog/datasets/678e5160-e741-49b4-b5da-86e97b8dd2a0,https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2018/alterges_2018.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2008/alterges_2008.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2009/alterges_2009.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2017/alterges_2017.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2006/alterges_2006.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2011/alterges_2011.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2023/alterges_2023.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2015/alterges_2015.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2002/alterges_2002.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2024/alterges_2024.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2022/alterges_2022.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2016/alterges_2016.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2005/alterges_2005.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2012/alterges_2012.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2004/alterges_2004.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2013/alterges_2013.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2020/alterges_2020.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2010/alterges_2010.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2014/alterges_2014.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2021/alterges_2021.csv;https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2019/alterges_2019.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2003/alterges_2003.csv;http://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/2007/alterges_2007.csv
,,,Personalstand Magistrat Linz - Altersstruktur (Linz),"Der Personalstand des Magistrat Linz mit Informaionen zum Alter, zu Vollzeit- und Teilzeitbeschäftigten und zum Geschlecht.",2019-07-18T07:24:05.090546Z,2025-11-14T16:25:00Z,PDF,1,http://www.data.gv.at/katalog/datasets/cee00f06-08e8-4f21-8d63-cc09725649dc,https://data.linz.gv.at/katalog/politik_verwaltung/verwaltung/personal/altersstruktur/ALTERGES.pdf
,,,Volksschulen (Linz),"Volksschulen mit Informationen zu der Anzahl der Klassen und SchülerInnen (männliche, weibliche und Summe).",2014-09-15T09:48:29.504135Z,2025-11-14T16:23:00Z,CSV,22,http://www.data.gv.at/katalog/datasets/16bd245e-8f6c-4696-95f3-17be8fe340cb,https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2006/VOSHL_2006.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2017/VOSHL_2017.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2021/VOSHL_2021.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2004/VOSHL_2004.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2020/VOSHL_2020.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2003/VOSHL_2003.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2016/VOSHL_2016.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2019/VOSHL_2019.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2024/VOSHL_2024.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2008/VOSHL_2008.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2011/VOSHL_2011.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2022/VOSHL_2022.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2013/VOSHL_2013.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2007/VOSHL_2007.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2005/VOSHL_2005.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2009/VOSHL_2009.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2018/VOSHL_2018.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2014/VOSHL_2014.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2012/VOSHL_2012.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2023/VOSHL_2023.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2015/VOSHL_2015.csv;https://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/volksschule/2010/VOSHL_2010.csv
