id,Standort,Beschreibung,Art
hecke_4ff67a427e89f49e71bc,Baumgärtlstraße,"Park, ca. 5lfm, bogenförmig, entlang des Weges gemischte Beeren","gemischt, Ribisel"
hecke_638980020ba941dcef62,Johann-Wilhelm-Klein-Anlage,entlang des Weges gemischte Beeren,gemischt
hecke_146731bf277e9563715a,Pulvermühlpark,"Pulvermühlpark, ca. 5 lfm. entlang des Weges gemischte Beeren",gemischt
hecke_50dad9937d620cfa3b10,Biesenfeldanlage,"Biesenfeldanlage, zwischen Bäuemen gemischte Beeren (Ribisel)",gemischt
hecke_0806e1be88c865a11425,Grünmarkt,"ca. 5 lfm. Anschließend an einen Streifen gemischte Beeren: 8 Ribisel, 12 m² Himbeeren","Ribisel, Himbeere"
hecke_dcb5b9b55f8c6ebff28b,Ottensheimer Straße,"3 rote Ribisel, 2 weiße Ribisel, 1 Dirndl, 4 Japanische Weinbeeren, 1 Josta, 1 Stachelbeer, 3 Brombeeren, 2 dornenlose Brombeeren, 1 Amelanchier, 18 m² Himbeeren","Ribisel, Dirndl, Japanische Weinbeeren, Josta, Stachelbeer, Brombeere, Amelanchier, Himbeeren"
hecke_b15f432cdff42289c3b1,BH-Uhrfahr,Himbeeren rundlich vor Beet,Himbeere
hecke_9709a538a414105dbc6f,Harbachpark,5lfm Ribisel,Ribisel
hecke_64bedaf82c5ecc14c992,Unipark,"hinter Juridikum, vor Wolfauerstraße: 5 rote Ribisel, 1 weiße, 1 schwarze, 1 Josta, 6 Himbeere","Ribisel, Himbeere, Josta"
hecke_98f2aafbc0ff41052f12,Arboretum/Freinberg,Nähe Holzheimerstraße,"Ribisel, Stachelbeere, Brombeere"
hecke_f58f9173fad58cf935ae,Pöstlingberg,"bei Samhaberstraße, unterhalb vom Pöstlingbergschlössl: 5lfm Ribisel, 3 rote, 1 weiße, 1 schwarze",Ribisel
hecke_1c76a6c110fb853adfe8,Landwirtstraße/Klimtweg,"WAG-Park (unterhalb von Klimtweg): 1 Gruppe Himbeeren 5 Stk.; 5 lfm Hecke: 1 rote Ribisel, 1 Weiße Ribisel, 1 Stachelbeerbäumchen, 1 Josta, 1 Schwarze Ribisel","Himbeere; Ribisel, Stachelbeere, Josta"
hecke_a435660642d52cbe3671,Europaschule,5lfm Hecke,Ribisel
hecke_7064cf44549374d43657,Posthof,"Posthofstraße, Nähe Haus 50 2 rote, 1 weiße 1 schwarze Ribisel, 1 Jostabeere 8 Stk. Himbeere, sommer und herbsttragend gemischt 2 Stk. Brombeere, 3 Stk. japanische Weinbeere","Ribisel, Josta, Himbeere, Brombeere, japanische Weinbeere"
hecke_171884c8bc5d22d0a314,Löwenfeldpark,"zwischen Dauphinestraße 62 und 66 2 rote, 1 weiße, 1 schwarze Ribisel, 1 Josta, 1 Stachelbeere","Ribisel, Josta, Stachelbeere"
hecke_c793529ff261b0f60d1c,Freinberg Obstbaumgarten Margarethenweg,"oberhalb Margarethenweg beim Spielplatz: 5 rote Ribisel, 3 weiße, 2 schwarze, 2 Josta, 8 Himbeerern, 5 Brombeeren, 5 Stachelbeerbäumchen (gelb und braunfrüchtig) 5 Japanische Weinbeeren","Ribisel, Josta,Himbeere, Brombeere, Stachelbeere, Japanische Weinbeeren"
hecke_83c09bb5da1a5bc30953,Kudlichstraße 13,"Unterhalb von Restaurant Essig: 10 Himbeeren, 5 rote, 3 weiße, 3 schwarze Ribisel, 2 Josta","Himbeere, Ribisel, Josta"
hecke_47379c45101ba972a914,Winklerwald,"am Waldrand vor dem Spielplatz: 10 Brombeeren, 10 Himbeeren (sommer- und herbsttragend)","Brombeere, Himbeere"
hecke_79a4e307b104e3690fc9,Volksgarten,"beim Schachfeld: 1 rote Ribisel, 1 Josta, 1 weiße Ribisel, 1 schwarze Ribisel","Ribisel, Josta"
hecke_de0c61c4cacfb3c78e53,Bindermichlpark,"Himbeeren bei Hanuschstraße 86 – 88 und im Südteil in freien Stellen der Hecken, außenseitlich gepflanzt.",Himbeere
